time,gFx,gFy,gFz,TgF
0.913184923,-1.0066,-0.0610,0.1502,1.020
0.916100077,-1.0063,-0.0603,0.1488,1.019
0.917971077,-1.0073,-0.0615,0.1486,1.020
0.920816077,-1.0037,-0.0620,0.1495,1.017
0.922980923,-1.0056,-0.0652,0.1478,1.018
0.924891462,-1.0105,-0.0603,0.1486,1.023
0.927625539,-1.0105,-0.0584,0.1474,1.023
0.929592308,-1.0059,-0.0569,0.1502,1.019
0.932350847,-1.0049,-0.0596,0.1495,1.018
0.934451385,-1.0012,-0.0596,0.1465,1.014
0.943949616,-1.0019,-0.0606,0.1458,1.014
0.954186154,-1.0019,-0.0598,0.1474,1.014
0.954723077,-1.0005,-0.0640,0.1476,1.013
0.955072923,-0.9981,-0.0613,0.1488,1.011
0.95565077,-0.9998,-0.0579,0.1500,1.013
0.955916,-0.9981,-0.0594,0.1463,1.010
0.956139154,-0.9966,-0.0591,0.1488,1.009
0.956353539,-0.9983,-0.0574,0.1463,1.011
0.956548385,-0.9951,-0.0594,0.1476,1.008
0.958574154,-0.9923,-0.0566,0.1474,1.005
0.960084616,-0.9951,-0.0554,0.1486,1.008
0.962860616,-0.9975,-0.0584,0.1486,1.010
0.965019385,-1.0003,-0.0584,0.1483,1.013
0.967369539,-0.9988,-0.0591,0.1476,1.011
0.971947077,-0.9983,-0.0589,0.1481,1.011
0.972525,-0.9973,-0.0569,0.1476,1.010
0.974446539,-0.9988,-0.0579,0.1502,1.012
0.977200693,-0.9991,-0.0586,0.1521,1.012
0.979260077,-1.0000,-0.0577,0.1498,1.013
0.982021,-0.9993,-0.0591,0.1478,1.012
0.98400277,-0.9995,-0.0564,0.1476,1.012
0.986263693,-0.9963,-0.0557,0.1490,1.009
0.98843877,-1.0000,-0.0582,0.1456,1.012
0.991284923,-1.0019,-0.0562,0.1474,1.014
0.994565539,-0.9986,-0.0598,0.1458,1.011
0.995597923,-1.0030,-0.0608,0.1470,1.016
0.998672,-1.0073,-0.0603,0.1463,1.020
1.000284,-1.0035,-0.0594,0.1474,1.016
1.003688616,-1.0024,-0.0577,0.1453,1.015
1.00572777,-1.0028,-0.0584,0.1437,1.015
1.007721308,-1.0005,-0.0598,0.1437,1.013
1.010437923,-0.9993,-0.0582,0.1465,1.012
1.012359462,-1.0000,-0.0601,0.1483,1.013
1.015571385,-1.0019,-0.0586,0.1465,1.014
1.018064385,-1.0012,-0.0586,0.1429,1.013
1.019203385,-0.9998,-0.0589,0.1456,1.012
1.021892616,-1.0007,-0.0574,0.1465,1.013
1.024040308,-0.9993,-0.0574,0.1429,1.011
1.027028,-0.9973,-0.0571,0.1468,1.010
1.036358539,-0.9935,-0.0574,0.1495,1.006
1.036883462,-0.9956,-0.0569,0.1476,1.008
1.037187154,-0.9963,-0.0586,0.1470,1.009
1.037440616,-1.0007,-0.0596,0.1468,1.013
1.039328077,-0.9995,-0.0596,0.1474,1.012
1.040703154,-0.9986,-0.0589,0.1481,1.011
1.042623077,-0.9981,-0.0589,0.1483,1.011
1.045004308,-0.9937,-0.0589,0.1468,1.006
1.052098539,-0.9970,-0.0596,0.1476,1.010
1.052498539,-0.9963,-0.0582,0.1490,1.009
1.052607462,-0.9944,-0.0589,0.1476,1.007
1.055995462,-0.9942,-0.0589,0.1451,1.006
1.060012077,-0.9937,-0.0601,0.1505,1.007
1.060246154,-0.9986,-0.0603,0.1495,1.011
1.061645539,-1.0017,-0.0596,0.1500,1.015
1.063739077,-1.0019,-0.0584,0.1505,1.015
1.066238231,-1.0049,-0.0594,0.1490,1.018
1.068542847,-1.0022,-0.0589,0.1483,1.015
1.07145877,-1.0005,-0.0591,0.1483,1.013
1.073397847,-1.0015,-0.0596,0.1514,1.015
1.076007462,-0.9991,-0.0577,0.1524,1.012
1.078481847,-1.0028,-0.0594,0.1498,1.016
1.080530154,-1.0030,-0.0598,0.1490,1.016
1.083208077,-1.0039,-0.0594,0.1493,1.017
1.085388308,-1.0042,-0.0628,0.1505,1.017
1.087790462,-1.0054,-0.0603,0.1476,1.018
1.090798231,-1.0044,-0.0610,0.1468,1.017
1.093792616,-1.0066,-0.0613,0.1456,1.019
1.094629308,-1.0037,-0.0613,0.1478,1.016
1.097381,-1.0035,-0.0623,0.1488,1.016
1.099624923,-1.0059,-0.0596,0.1468,1.018
1.101711693,-1.0054,-0.0610,0.1437,1.017
1.105039693,-1.0059,-0.0598,0.1465,1.018
1.106585308,-1.0037,-0.0596,0.1451,1.016
1.108868923,-1.0032,-0.0606,0.1451,1.015
1.111209616,-1.0017,-0.0608,0.1451,1.014
1.115182154,-1.0030,-0.0608,0.1463,1.015
1.116778847,-1.0005,-0.0591,0.1441,1.013
